"","LAT","LON","SPEED","COURSE","HEADING","DESTINATION","FLAG","LENGTH","SHIPNAME","SHIPTYPE","SHIP_ID","WIDTH","DWT","DATETIME","PORT","date","week_nb","ship_type","port","is_parked"
"1799368",54.65695,20.11663,0,204,58,NA,"RU",57,"TARNIKA",3,346160,9,641,"2016-12-20T09:45:02Z","kalingrad","2016-12-20",51,"Tug","Kalingrad",1
"1487566",57.68283,11.64992,0,212,56,NA,"SE",18,"VINGAFJORD GG-173",2,326950,6,0,"2016-12-15T16:39:05Z","gothenborg","2016-12-15",50,"Fishing","gothenborg",1
"632462",54.53297,18.54211,0,175,234,"PL GDY","PA",199,"SANTA URSULA",7,465205,32,61453,"2016-12-16T01:05:08Z","gdynia","2016-12-16",51,"Cargo","Gdynia",1
"2825580",59.87362,30.20262,1,190,135,"ST PETERSBURG","PA",242,"MSC SABRINA",7,418044,32,43078,"2016-12-16T18:29:03Z","st_petersburg","2016-12-16",51,"Cargo","St. Petersburg",1
"2002414",55.66711,21.14682,0,286,350,"KLAIPEDA/LTU","PA",183,"OCEAN RAINBOW",7,459517,29,38494,"2016-12-17T00:55:05Z","klaipeda","2016-12-17",51,"Cargo","Klaipeda",1
"2448012",59.89039,30.2134,0,0,34,"ST.PETERSBURG VIA KK","RU",99,"MIKHAIL LOMONOSOV",7,347839,16,4805,"2016-12-15T06:49:05Z","st_petersburg","2016-12-15",50,"Cargo","St. Petersburg",1
"246603",54.37303,18.66268,0,341,511,"GDANSK","RU",120,"LIRA",2,351089,19,3372,"2016-12-13T14:53:02Z","gdansk","2016-12-13",50,"Fishing","Gdańsk",1
"1623049",57.73263,11.99473,0,0,511,"CLASS B","SE",25,"BJONN",3,3423103,8,NA,"2016-12-15T06:51:08Z","gothenborg","2016-12-15",50,"Tug","gothenborg",1
"1681984",57.70692,11.65843,0,234,511,"CLASS B","SE",20,"LADY",9,4096146,6,NA,"2016-12-13T16:53:05Z","gothenborg","2016-12-13",50,"Pleasure","gothenborg",1
"2560810",59.9116,30.22752,0,83,190,"SPB","RU",77,"DMITRIY RULEVSKIY",8,349912,14,3320,"2016-12-17T04:03:04Z","st_petersburg","2016-12-17",51,"Tanker","St. Petersburg",1
"338851",54.69635,18.67494,6,214,511,NA,"PL",18,"JAS 61",2,1124170,5,NA,"2016-12-16T00:29:01Z","gdansk","2016-12-16",51,"Fishing","Gdańsk",0
"643478",54.52705,18.55813,0,12,84,"GDYNIA POLAND","HK",97,"JOAN",8,687940,16,4000,"2016-12-16T23:11:07Z","gdynia","2016-12-16",51,"Tanker","Gdynia",1
"1857908",54.70169,20.45641,0,0,291,"KALININGRAD","IT",136,"ACQUAMARINA",8,1247749,20,12004,"2016-12-18T05:55:03Z","kalingrad","2016-12-18",51,"Tanker","Kalingrad",1
"1127219",57.71313,11.69041,33,265,265,"SVANESUND","SE",54,"SVANHILD",6,322168,13,150,"2016-12-16T12:55:05Z","gothenborg","2016-12-16",51,"Passenger","gothenborg",0
"2998247",59.88129,30.23153,0,0,101,"ST.PETERSBURG","RU",89,"CHAROITE",7,3382564,14,5026,"2016-12-18T21:37:04Z","st_petersburg","2016-12-18",51,"Cargo","St. Petersburg",1
"377837",54.38283,18.67367,0,267,72,"GDANSK","PL",109,"POLA",8,4028143,11,NA,"2016-12-18T03:53:02Z","gdansk","2016-12-18",51,"Tanker","Gdańsk",1
"1523694",57.71429,11.9576,0,47,511,NA,"SE",8,"KBV 494",3,327376,2,NA,"2016-12-16T07:55:08Z","gothenborg","2016-12-16",51,"Tug","gothenborg",1
"622336",54.53366,18.53775,0,323,239,"GDYNIA","PA",179,"SEASTAR ENDURANCE",7,406999,28,33500,"2016-12-17T12:53:07Z","gdynia","2016-12-17",51,"Cargo","Gdynia",1
"2499434",59.89567,30.22678,0,0,511,"SPB","RU",87,"ALANA",8,348465,14,3233,"2016-12-17T09:21:04Z","st_petersburg","2016-12-17",51,"Tanker","St. Petersburg",1
"2442175",59.8834,30.18833,0,0,511,"CLASS B","RU",33,"ARKTUR",3,347718,9,NA,"2016-12-17T10:13:05Z","st_petersburg","2016-12-17",51,"Tug","St. Petersburg",1
"2122528",59.88105,30.23216,1,193,94,"GDANSK","GI",82,"PHANTOM",7,204427,12,4500,"2016-12-14T22:57:04Z","st_petersburg","2016-12-14",50,"Cargo","St. Petersburg",1
"2528097",59.88457,30.17022,0,42,134,"KRONSHTADT","RU",65,"PEGAS",8,348904,10,1252,"2016-12-19T09:47:04Z","st_petersburg","2016-12-19",51,"Tanker","St. Petersburg",1
"2117044",59.88204,30.18053,0,251,30,"ST.PETERSBURG","GB",184,"CPO GERMANY",8,192887,27,37297,"2016-12-14T11:07:04Z","st_petersburg","2016-12-14",50,"Tanker","St. Petersburg",1
"720518",54.53632,18.51674,2,189,58,"IZA","PL",50,"OCEANOGRAF",3,4190565,14,NA,"2016-12-13T18:55:07Z","gdynia","2016-12-13",50,"Tug","Gdynia",1
"607278",54.40325,18.67547,0,302,100,"GDANSK","AG",81,"RMS RAHM",7,364258,11,2500,"2016-12-15T11:31:07Z","gdynia","2016-12-15",50,"Cargo","Gdynia",1
"1378818",57.62733,11.83119,50,18,511,"CLASS B","SE",10,"GKSS-ONLINE",3,325770,4,NA,"2016-12-18T09:17:05Z","gothenborg","2016-12-18",51,"Tug","gothenborg",0
"2235773",59.88916,30.20931,0,0,121,"SPB","RU",135,"ERMAK",3,345344,26,7560,"2016-12-14T11:01:03Z","st_petersburg","2016-12-14",50,"Tug","St. Petersburg",1
"2588204",59.90638,30.22074,0,0,511,"CLASS B","RU",30,"BALTIETS",3,350026,6,NA,"2016-12-20T00:05:04Z","st_petersburg","2016-12-20",51,"Tug","St. Petersburg",1
"1969035",55.65962,21.14357,0,342,342,"KARLSHAMN SWEDEN","LT",198,"ATHENA SEAWAYS",6,353650,26,8500,"2016-12-13T15:01:08Z","klaipeda","2016-12-13",50,"Passenger","Klaipeda",1
"1550743",57.68981,11.87893,0,271,212,"GOTEBORG","SG",145,"ELISALEX SCHULTE",8,725648,23,16418,"2016-12-19T07:17:08Z","gothenborg","2016-12-19",51,"Tanker","gothenborg",1
"661395",54.5355,18.52117,0,237,237,"PL GDY","MT",103,"TRANS HOLM",8,728871,16,6046,"2016-12-18T12:55:07Z","gdynia","2016-12-18",51,"Tanker","Gdynia",1
"2362388",59.86635,30.2267,0,319,282,"BKR","RU",25,"BREST",3,346998,8,0,"2016-12-19T19:19:04Z","st_petersburg","2016-12-19",51,"Tug","St. Petersburg",1
"1077031",57.6057,11.7963,0,0,511,"BORJESSON.SE","SE",17,"FJORDSKAR",6,321641,6,NA,"2016-12-13T22:11:06Z","gothenborg","2016-12-13",50,"Passenger","gothenborg",1
"547149",54.53488,18.53635,0,54,122,"GDYNIA","PL",53,"KAPITAN POINC",3,316649,13,930,"2016-12-14T12:55:07Z","gdynia","2016-12-14",50,"Tug","Gdynia",1
"1563770",57.77124,11.62126,0,0,312,NA,"SE",37,"LINDA",6,1081005,7,120,"2016-12-15T23:25:05Z","gothenborg","2016-12-15",50,"Passenger","gothenborg",1
"3023505",59.87522,30.20425,0,0,136,"SANKT-PETERBURG","RU",119,"VLADIVOSTOK",3,3562991,28,5610,"2016-12-17T05:45:05Z","st_petersburg","2016-12-17",51,"Tug","St. Petersburg",1
"1376520",57.63538,11.8303,84,358,511,"CLASS B","SE",10,"GKSS-ONLINE",3,325770,4,NA,"2016-12-15T14:09:06Z","gothenborg","2016-12-15",50,"Tug","gothenborg",0
"2331950",59.90893,30.22422,0,0,511,"CLASS B","RU",30,"TORNADO",3,346208,10,NA,"2016-12-18T03:25:04Z","st_petersburg","2016-12-18",51,"Tug","St. Petersburg",1
"1539706",57.69009,11.84581,0,56,5,"ROTTERDAM","AG",129,"ICE RUNNER",7,364576,20,8137,"2016-12-16T08:27:09Z","gothenborg","2016-12-16",51,"Cargo","gothenborg",1
"1362955",57.77234,11.619,2,355,146,"3.E MAN","SE",8,"RESCUE MARIANNE BRAT",3,325269,2,NA,"2016-12-17T12:57:05Z","gothenborg","2016-12-17",51,"Tug","gothenborg",1
"166863",54.36806,18.77854,0,299,511,"CLASS B","PL",12,"LE VOYAGEUR",9,316076,4,NA,"2016-12-15T19:23:02Z","gdansk","2016-12-15",50,"Pleasure","Gdańsk",1
"682292",54.53039,18.52869,1,0,239,"GDYNIA","PL",26,"FAIRPLAY IV",3,917997,8,0,"2016-12-17T09:03:06Z","gdynia","2016-12-17",51,"Tug","Gdynia",1
"898477",57.70581,11.93644,0,0,511,"EDUCATION","SE",160,"SJOEBEFAELSSKOLAN",3,319754,60,NA,"2016-12-19T16:59:07Z","gothenborg","2016-12-19",51,"Tug","gothenborg",1
"808146",57.68531,11.88713,0,256,276,"GOTEBORG","FO",31,"SVITZER GAIA",3,182431,11,349,"2016-12-15T05:13:05Z","gothenborg","2016-12-15",50,"Tug","gothenborg",1
"1189757",57.61991,11.9274,0,258,265,"SSRS HOVAS","SE",12,"RESCUE HANS LAURIN",3,322974,4,NA,"2016-12-14T13:39:05Z","gothenborg","2016-12-14",50,"Tug","gothenborg",1
"1941835",55.65711,21.15703,1,168,280,"KLAIPEDA","LT",83,"GRUMANT",8,352344,14,3153,"2016-12-19T05:23:06Z","klaipeda","2016-12-19",51,"Tanker","Klaipeda",1
"990567",57.72117,11.9815,0,0,239,NA,"SE",17,"SOUND CASTOR",0,320779,6,NA,"2016-12-18T00:05:05Z","gothenborg","2016-12-18",51,"Unspecified","gothenborg",1
"139135",54.48731,18.94843,28,9,511,"BALTIC SEA","PL",19,"JAS 78",2,315930,6,NA,"2016-12-16T07:35:02Z","gdansk","2016-12-16",51,"Fishing","Gdańsk",0
"729883",57.66755,11.80029,0,294,127,"GOTHENBURG","MT",122,"BESIKTAS ICELAND",8,3049,17,7700,"2016-12-14T21:49:06Z","gothenborg","2016-12-14",50,"Tanker","gothenborg",1
"2317601",59.87819,30.238,0,44,511,"MURSULA SPB","RU",29,"GRIFON 3",3,346161,8,57,"2016-12-15T18:15:06Z","st_petersburg","2016-12-15",50,"Tug","St. Petersburg",1
"2116120",59.88206,30.18055,0,251,30,"ST.PETERSBURG","GB",184,"CPO GERMANY",8,192887,27,37297,"2016-12-13T12:05:04Z","st_petersburg","2016-12-13",50,"Tanker","St. Petersburg",1
"641796",54.53163,18.52301,0,308,511,"GDYNIA","VC",32,"SERVAL",3,468665,9,203,"2016-12-20T08:17:06Z","gdynia","2016-12-20",51,"Tug","Gdynia",1
"472612",54.51935,18.55474,0,0,92,"GDY-PL","PL",38,"AGAT",6,315775,12,83,"2016-12-18T10:47:07Z","gdynia","2016-12-18",51,"Passenger","Gdynia",1
"2298290",59.91296,30.24341,0,0,511,"GULF OF FINLAND","RU",78,"KAPITAN PLAKHIN",3,346057,16,258,"2016-12-17T22:23:03Z","st_petersburg","2016-12-17",51,"Tug","St. Petersburg",1
"123005",54.38644,18.66511,57,217,222,"GDANSK","PL",58,"SMPRC110",3,315824,9,1068,"2016-12-13T22:33:01Z","gdansk","2016-12-13",50,"Tug","Gdańsk",0
"273813",54.52316,18.65558,0,325,219,"GDYNIA","PA",179,"SEASTAR ENDURANCE",7,406999,28,33500,"2016-12-15T21:07:02Z","gdansk","2016-12-15",50,"Cargo","Gdańsk",1
"1099613",57.68657,11.88638,0,0,511,"CLASS B","SE",13,"MANDALAY",9,321727,4,NA,"2016-12-20T10:57:05Z","gothenborg","2016-12-20",51,"Pleasure","gothenborg",1
"1342807",57.62459,11.80328,78,301,511,"CLASS B","SE",8,"AQUILA",9,324986,4,NA,"2016-12-19T23:19:16Z","gothenborg","2016-12-19",51,"Pleasure","gothenborg",0
"1771443",54.69803,20.45276,0,352,511,"KALININGRAD","CY",112,"WILSON SUND",7,146140,15,6274,"2016-12-19T09:17:02Z","kalingrad","2016-12-19",51,"Cargo","Kalingrad",1
"2802826",59.91373,30.22985,0,0,82,"RULED","BS",158,"AUTUMN WAVE",7,369043,24,13981,"2016-12-18T01:27:03Z","st_petersburg","2016-12-18",51,"Cargo","St. Petersburg",1
"266188",54.40326,18.67549,4,354,511,"NLZWI","AG",81,"RMS RAHM",7,364258,11,2500,"2016-12-19T11:15:02Z","gdansk","2016-12-19",51,"Cargo","Gdańsk",1
"31076",54.523,18.60883,1,223,315,"GDYNIA","GB",99,"KAREN C",7,195991,15,6250,"2016-12-18T15:03:02Z","gdansk","2016-12-18",51,"Cargo","Gdańsk",1
"714089",54.69478,18.67382,0,281,511,"CLASS B","PL",13,"JAS-79",2,3862045,4,NA,"2016-12-17T23:47:08Z","gdynia","2016-12-17",51,"Fishing","Gdynia",1
"1396944",57.73242,11.99446,0,225,511,"GOTEBORG","SE",24,"TOFTE",3,326263,8,0,"2016-12-14T22:03:06Z","gothenborg","2016-12-14",50,"Tug","gothenborg",1
"1659389",57.69091,11.88941,0,310,511,"CLASS B","SE",14,"BOATMAN 1",3,3724655,6,NA,"2016-12-14T20:57:05Z","gothenborg","2016-12-14",50,"Tug","gothenborg",1
"1979845",55.76567,20.98033,81,321,316,"RIGA","PT",100,"LYRA",7,363818,16,5184,"2016-12-16T01:13:06Z","klaipeda","2016-12-16",51,"Cargo","Klaipeda",0
"595311",54.40068,18.67943,0,310,349,"GDANSK","PL",19,"VEGA",3,352928,9,52,"2016-12-17T21:49:06Z","gdynia","2016-12-17",51,"Tug","Gdynia",1
"644991",54.53363,18.53766,0,274,238,"PLGDY","HK",179,"SCHUYLER TRADER",7,689205,30,35800,"2016-12-13T23:55:06Z","gdynia","2016-12-13",50,"Cargo","Gdynia",1
"2405334",59.87597,30.20253,0,0,133,"SANKT-PETERSBURG","RU",114,"SANKT-PETERBURG",3,347225,28,6430,"2016-12-17T20:39:03Z","st_petersburg","2016-12-17",51,"Tug","St. Petersburg",1
